S.No,Site / Organisation,Ministry / Department,URL,Status,Parser Type,Sections Scraped
1,GST Portal — News and Updates,Ministry of Finance,https://services.gst.gov.in/services/advisory/advisoryandreleases,Active,LIST,1
2,Department of Food and Public Distribution,Department of Food and Public Distribution,https://dfpd.gov.in/Home/WhatsNewViewAllList?languageId=1,Active,LIST,1
3,Ministry of Heavy Industries,Ministry of Heavy Industries,,Active,LIST,2
4,Export Promotion Council for EOUs & SEZs (EPCES),Ministry of Commerce and Industry,https://epces.in/index.php,Active,PDF_INDEX,1
5,Department for Promotion of Industry and Internal Trade (DPIIT),Ministry of Commerce and Industry,https://www.dpiit.gov.in/whats-new,Active,LIST,1
6,Income Tax,Department of Revenue,https://incometaxindia.gov.in/Pages/communications/whats-new.aspx,Active,LIST,1
7,Intellectual Property India,Ministry of Commerce and Industry,https://ipindia.gov.in/Home/Latestnews/1?CatID=1&pg=1,Active,LIST,1
8,Ministry of Steel,Ministry of Steel,https://steel.gov.in/press-release,Active,TABLE,1
9,Ministry of Textiles,Ministry of Textiles,https://www.texmin.gov.in/whats-new,Inactive,LIST,1
10,Project Export Promotion Council (PEPC),Ministry of Commerce and Industry,https://projectexports.com,Active,LIST,1
11,Ministry of Information and Broadcasting,Ministry of Information and Broadcasting,,Active,TABLE,4
12,Ministry of Home Affairs,Ministry of Home Affairs,https://www.mha.gov.in/en/media/whats-new,Active,TABLE,1
13,Ministry of Tourism,Ministry of Tourism,https://tourism.gov.in/index.php/media/whats-new,Active,TABLE,1
14,Ministry of Women and Child Development,Ministry of Women and Child Development,https://wcd.gov.in/press,Active,TABLE,1
15,Commission for Agricultural Costs and Prices (CACP),Department of Agriculture and Farmers Welfare,,Active,TABLE,2
16,ICAR - Indian Council of Agricultural Research,Department of Agricultural Research and Education,,Active,TABLE,5
17,Department of Fertilizers,Ministry of Chemicals and Fertilizers,https://fert.gov.in/what-s-new,Active,TABLE,1
18,Department of Fisheries,"Ministry of Fisheries, Animal Husbandry and Dairying",https://dof.gov.in/whats-new,Active,LIST,1
19,Directorate of Marketing and Inspection (DMI),Department of Agriculture and Farmers Welfare,https://dmi.gov.in/,Active,LIST,1
20,National Food Security Mission (NFSM),Department of Agriculture and Farmers Welfare,https://www.nfsm.gov.in,Active,LIST,1
21,Department of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,,Active,TABLE,2
22,Cochin Special Economic Zone (CSEZ),Ministry of Commerce and Industry,,Active,TABLE,7
23,Marine Products Export Development Authority (MPEDA),Ministry of Commerce and Industry,,Active,TABLE,3
24,Department of Mines,Ministry of Mines,https://mines.gov.in/webportal/whatsnew,Active,TABLE,1
25,Department of Land Resources,Ministry of Rural Development,,Inactive,LIST,3
26,Ministry of Urban Development (MoHUA),Ministry of Housing and Urban Affairs,,Active,TABLE,2
27,"Ministry of Ports, Shipping and Waterways","Ministry of Ports, Shipping and Waterways",,Active,TABLE,14
28,Ministry of Food Processing Industries (MoFPI),Ministry of Food Processing Industries,,Active,TABLE,2
29,Ministry of Ayush,Ministry of Ayush,,Active,TABLE,2
30,Central Drugs Standard Control Organisation (CDSCO),Ministry of Health and Family Welfare,,Active,TABLE,4
31,Department of Pharmaceuticals (DoP),Ministry of Chemicals and Fertilizers,,Active,LIST,4
32,Ministry of Health and Family Welfare,Ministry of Health and Family Welfare,,Active,TABLE,2
33,Pharmacy Council of India (PCI),Ministry of Health and Family Welfare,,Active,LIST,5
34,Advertising Standards Council of India (ASCI),Consumer Affairs,,Active,LIST,4
35,Bureau of Indian Standards (BIS),"Ministry of Consumer Affairs, Food and Public Distribution",https://www.bis.gov.in/whats-new/?lang=en,Active,LIST,1
36,Department of Consumer Affairs,"Ministry of Consumer Affairs, Food and Public Distribution",,Active,TABLE,2
37,Department of Economic Affairs (DEA),Ministry of Finance,,Active,LIST,4
38,FCRA Online (Foreign Contribution Regulation),Ministry of Home Affairs,https://fcraonline.nic.in/home/order.aspx,Active,LIST,1
39,"Department of Revenue(Foreign Exchange, Import & Customs Duty)",Ministry of Finance,,Active,LIST,2
40,Food Safety and Standards Authority of India (FSSAI),Ministry of Health and Family Welfare,https://fssai.gov.in/recent-whatnew.php,Active,LIST,4
41,Dept of Empowerment of Persons with Disabilities (DEPwD),Ministry of Social Justice and Empowerment,,Active,TABLE,4
42,Department of Health Research (DHR),Ministry of Health and Family Welfare,,Active,LIST,2
43,Indian Council of Medical Research (ICMR),Ministry of Health and Family Welfare,,Active,LIST,2
44,Indian Nursing Council (INC),Ministry of Health and Family Welfare,,Active,LIST,5
45,CBIC GST Portal — What's New,Ministry of Finance,https://cbic-gst.gov.in/,Active,LIST,1
46,Department of Atomic Energy,Department of Atomic Energy,,Active,LIST,7
47,SEBI,Securities and Exchange Board of India,https://www.sebi.gov.in/,Active,LIST,1
48,Reserve Bank of India (RBI),Reserve Bank of India,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Year=2026&Month=0,Active,LIST,1
49,Central Ground Water Board (CGWB),Ministry of Jal Shakti,,Active,TABLE,2
50,Central Pollution Control Board (CPCB),"Ministry of Environment, Forest and Climate Change",,Active,TABLE,3
51,"Ministry of Environment, Forest and Climate Change (MoEFCC)","Ministry of Environment, Forest and Climate Change",,Active,TABLE,4
52,Warehousing Development and Regulatory Authority (WDRA),"Ministry of Consumer Affairs, Food and Public Distribution",,Active,LIST,3
53,National Housing Bank (NHB),Ministry of Finance,,Active,LIST,6
54,Joint Electricity Regulatory Commission - Goa & UTs (JERC),Ministry of Power,https://jercuts.gov.in/whats-new/,Active,TABLE,1
55,International Financial Services Centres Authority (IFSCA),Ministry of Finance,https://ifsca.gov.in/Home/NewSection,Active,TABLE,1
56,Quality Council of India (QCI),Department for Promotion of Industry and Internal Trade,,Active,LIST,3
57,Directorate General of Foreign Trade (DGFT),Ministry of Commerce and Industry,https://www.dgft.gov.in/CP/,Active,TABLE,1
58,Directorate of Cashewnut & Cocoa Development (DCCD),Ministry of Agriculture and Farmers Welfare,https://dccd.gov.in/,Active,LIST,1
59,"Directorate General of Fire Services, Civil Defence and Home Guards (DGFSCD&HG)",Ministry of Home Affairs,https://dgfscdhg.gov.in/,Active,LIST,1
60,Pension Fund Regulatory and Development Authority (PFRDA),Ministry of Finance,,Active,LIST,8
61,National Medical Commission (NMC),Ministry of Health and Family Welfare,,Active,TABLE,2
62,Employees' State Insurance Corporation (ESIC),Ministry of Labour and Employment,https://esic.gov.in/circulars,Active,TABLE,36
63,Department of Telecommunications (DoT),Ministry of Communications,https://www.dot.gov.in/whats-new,Active,LIST,1
64,Employees' Provident Fund Organisation (EPFO),Ministry of Labour and Employment,https://www.epfindia.gov.in/site_en/Updates.php,Active,TABLE,1
65,Telecom Regulatory Authority of India (TRAI),Ministry of Communications,https://www.trai.gov.in/what-s-new,Active,TABLE,2
66,Insurance Regulatory and Development Authority of India (IRDAI),Ministry of Finance,https://irdai.gov.in/whats-new,Active,LIST,1
67,Department of Biotechnology (DBT),Ministry of Science and Technology,,Active,TABLE,3
68,Ministry of Commerce (Department of Commerce),Ministry of Commerce and Industry,,Active,LIST,3
69,Ministry of New and Renewable Energy (MNRE),Ministry of New and Renewable Energy,,Active,LIST,9
70,Ministry of Coal,Ministry of Coal,,Active,TABLE,2
71,Coffee Board of India,Ministry of Commerce and Industry,coffeeboard.gov.in,Pipeline,TBD,1
72,Tea Board of India,Ministry of Commerce and Industry,teaboard.gov.in,Pipeline,TBD,1
73,Spices Board of India,Ministry of Commerce and Industry,indianspices.com,Pipeline,TBD,1
74,Rubber Board of India,Ministry of Commerce and Industry,rubberboard.org.in,Pipeline,TBD,1
